OriginalName,bioGroup,CatalyticGroup,PLtype,Context,replicate,FirstROCgroup,SecondROCgroup,Order,FinalName
ab_light_1.raw,A2B4_Light,NoCat,Light,Control,1,A,,10,
ab_light_2.raw,A2B4_Light,NoCat,Light,Control,2,A,,11,
ab_light_3.raw,A2B4_Light,NoCat,Light,Control,3,A,,12,
c_H_1.raw,C2_H2O2,Cata,H2O2,Experiment,1,C,C,25,
c_H_2.raw,C2_H2O2,Cata,H2O2,Experiment,2,C,C,26,
c_H_3.raw,C2_H2O2,Cata,H2O2,Experiment,3,C,C,27,
c_light_1.raw,C2_Light,NoCat,Light,Control,1,B,,19,
c_light_2.raw,C2_Light,NoCat,Light,Control,2,B,,20,
c_light_3.raw,C2_Light,NoCat,Light,Control,3,B,,21,
c_noH_1.raw,C2_noH2O2,NoCat,H2O2,Control,1,C,C,28,
c_noH_2.raw,C2_noH2O2,NoCat,H2O2,Control,2,C,C,29,
c_noH_3.raw,C2_noH2O2,NoCat,H2O2,Control,3,C,C,30,
e_light_1.raw,E7_Light,NoCat,Light,Control,1,A&B,,7,
e_light_2.raw,E7_Light,NoCat,Light,Control,2,A&B,,8,
e_light_3.raw,E7_Light,NoCat,Light,Control,3,A&B,,9,
eab_light_1.raw,E7A2B4_Light,Cata,Light,Experiment,1,A,A,1,
eab_light_2.raw,E7A2B4_Light,Cata,Light,Experiment,2,A,A,2,
eab_light_3.raw,E7A2B4_Light,Cata,Light,Experiment,3,A,A,3,
eab_nolight_1.raw,E7A2B4_noLight,NoCat,Light,Control,1,A,,4,
eab_nolight_2.raw,E7A2B4_noLight,NoCat,Light,Control,2,A,,5,
eab_nolight_3.raw,E7A2B4_noLight,NoCat,Light,Control,3,A,,6,
ec_light_1.raw,E7C2_Light,Cata,Light,Experiment,1,B,B,13,
ec_light_2.raw,E7C2_Light,Cata,Light,Experiment,2,B,B,14,
ec_light_3.raw,E7C2_Light,Cata,Light,Experiment,3,B,B,15,
ec_nolight_1.raw,E7C2_noLight,NoCat,Light,Control,1,B,,16,
ec_nolight_2.raw,E7C2_noLight,NoCat,Light,Control,2,B,,17,
ec_nolight_3.raw,E7C2_noLight,NoCat,Light,Control,3,B,,18,
J_H_1.raw,J37_H2O2,Cata,H2O2,Spatial,1,,,31,
J_H_2.raw,J37_H2O2,Cata,H2O2,Spatial,2,,,32,
J_H_3.raw,J37_H2O2,Cata,H2O2,Spatial,3,,,33,
k_light_1.raw,K19_Light,Cata,Light,Spatial,1,,A&B,22,
k_light_2.raw,K19_Light,Cata,Light,Spatial,2,,A&B,23,
k_light_3.raw,K19_Light,Cata,Light,Spatial,3,,A&B,24,
